Card Name,Type,Attribute,Sub Type,ATK,DEF,Card Text
Ancient Gear Hunting Hound,Effect Monster,EARTH,Machine,1000,1000,"If this card is Normal Summoned: Inflict 600 damage to your opponent. If this card attacks, your opponent cannot activate Spell/Trap Cards until the end of the Damage Step. Once per turn: You can Fusion Summon 1 ""Ancient Gear"" Fusion Monster from your Extra Deck, using monsters from your hand or field as Fusion Materials."
Ancient Lamp,Effect Monster,WIND,Spellcaster,900,1400,"During your Main Phase: You can Special Summon ""La Jinn the Mystical Genie of the Lamp"" from your hand. This card must be face-up on the field to activate and resolve this effect. Before damage calculation, if this card is being attacked by an opponent's monster, and was face-down at the start of the Damage Step: You can target 1 monster your opponent controls, except the attacking monster; the attacking monster attacks it instead, and you proceed to damage calculation."
Anti-Aircraft Flower,Effect Monster,EARTH,Plant,0,1600,"By tributing 1 Insect-Type monster on your side of the field, inflict 800 points of damage to your opponent's Life Points."
Ape Magician,Effect Monster,DARK,Beast,800,1200,"Cannot be Special Summoned. Once per turn, if this card is in face-up Attack Position: You can send 1 monster from your hand to the Graveyard to target 1 face-up Defense Position monster your opponent controls; take control of it until the End Phase. It cannot change its battle position this turn."
Apple Magician Girl,Effect Monster,FIRE,Spellcaster,1200,800,"Once per turn, if this card is targeted for an attack: You can Special Summon 1 Level 5 or lower Spellcaster-Type monster from your hand, then change the attack target to it, and if you do, the attacking monster's ATK becomes half its current ATK. If this card is destroyed by battle or card effect: You can target up to 3 other ""Magician Girl"" monsters with different names in your Graveyard; add them to your hand."
Arcane Archer of the Forest,Effect Monster,EARTH,Warrior,900,1400,"While there is a Plant-Type monster on your side of the field, this card cannot be attacked. By Tributing 1 Plant-Type monster on your side of the field, destroy 1 Spell or Trap Card on the field."
Archfiend Heiress,Effect Monster,DARK,Fiend,1000,0,"If this card is sent to the Graveyard because of a card effect or being destroyed by battle: You can add 1 ""Archfiend"" card from your Deck to your hand, except ""Archfiend Heiress"". You can only use the effect of ""Archfiend Heiress"" once per turn."
Armed Dragon LV3,Effect Monster,WIND,Dragon,1200,900,"During your Standby Phase, you can send this face-up card from the field to the Graveyard to Special Summon 1 ""Armed Dragon LV5"" from your hand or Deck."
Aromage Cananga,Effect Monster,EARTH,Plant,1400,1000,"While your LP is higher than your opponent's, face-up monsters your opponent controls lose 500 ATK and DEF. Once per turn, if you gain LP: Target 1 Spell/Trap Card your opponent controls; return it to the hand."
Arsenal Bug,Effect Monster,EARTH,Insect,2000,2000,"If there are no face-up Insect-Type monsters (except this monster) on your side of the field, both the ATK and DEF of this monster become 1000 points."
Aswan Apparition,Effect Monster,DARK,Fiend,500,500,"If this card inflicts Battle Damage to your opponent's Life Points, you can return 1 Trap Card from your Graveyard to the top of your Deck."
Atlantean Attack Squad,Effect Monster,WATER,Sea Serpent,1400,0,"This card gains 800 ATK while you control a face-up Fish, Sea Serpent, or Aqua-Type monster other than this card."
Atlantean Marksman,Effect Monster,WATER,Sea Serpent,1400,0,"When this card inflicts Battle Damage to your opponent: You can Special Summon 1 Level 4 or lower Sea Serpent-Type ""Atlantean"" monster, except ""Atlantean Marksman"", from your Deck. When this card is sent to the Graveyard for the activation of a WATER monster's effect: Target 1 Set card your opponent controls; destroy that target."
"Aurkus, Lightsworn Druid",Effect Monster,LIGHT,Beast-Warrior,1200,1800,"Lightsworn monsters (everywhere) cannot be targeted by Spells, Traps, or card effects. During each of your End Phases: Send the top 2 cards of your Deck to the Graveyard. You must control this face-up card to activate and to resolve this effect."
Autorokket Dragon,Effect Monster,DARK,Dragon,1600,1000,"When a Link Monster's effect is activated that targets this face-up card on the field (Quick Effect): You can destroy this card, then send 1 Spell/Trap on the field to the GY. During the End Phase, if this card is in the GY because it was destroyed on the field by battle or card effect and sent there this turn: You can Special Summon 1 ""Rokket"" monster from your Deck, except ""Autorokket Dragon"". You can only use each effect of ""Autorokket Dragon"" once per turn."
Avatar of The Pot,Effect Monster,EARTH,Rock,1200,1300,"By sending 1 ""Pot of Greed"" from your hand to the Graveyard, draw 3 cards from your Deck."
Bachibachibachi,Effect Monster,LIGHT,Insect,800,800,An Xyz Monster that was Summoned using this card on the field as Xyz Material gains this effect.
,,,,,,"If this card attacks a Defense Position monster, inflict piercing battle damage to your opponent."
Backlinker,Effect Monster,DARK,Cyberse,1600,0,"If only your opponent controls a monster in the Extra Monster Zone, you can Special Summon this card (from your hand). You can Tribute this card; shuffle all monsters from the Extra Monster Zones into the Deck, also you cannot Special Summon monsters from the Extra Deck for the rest of this turn."
Backup Operator,Effect Monster,LIGHT,Cyberse,1200,800,"You can target 1 face-up monster that a Link Monster you control points to; Special Summon this card from your hand, and if you do, return that monster to the hand. If Special Summoned this way, banish this card when it leaves the field. You can only use this effect of ""Backup Operator"" once per turn."
Backup Secretary,Effect Monster,LIGHT,Cyberse,1200,800,"If you control a Cyberse monster, you can Special Summon this card (from your hand). You can only Special Summon ""Backup Secretary"" once per turn this way."
Banisher of the Light,Effect Monster,LIGHT,Fairy,100,2000,"As long as this card remains face-up on the field, any card sent to the Graveyard is removed from play instead."
Banisher of the Radiance,Effect Monster,LIGHT,Fairy,1600,0,Any card sent to the Graveyard is banished instead.
Baobaboon,Effect Monster,DARK,Plant,1200,1000,"If this card is Normal or Special Summoned: You can draw 1 card, then place 1 card from your hand on either the top or bottom of your Deck. If this card is destroyed by battle or card effect: You can Special Summon any number of ""Baobaboon"" from your Deck."
"Barbar, Malebranche of the Burning Abyss",Effect Monster,DARK,Fiend,1700,1000,"If you control a monster that is not a ""Burning Abyss"" monster, destroy this card. You can only use 1 of the following effects of ""Barbar, Malebranche of the Burning Abyss"" per turn, and only once that turn."
,,,,,,If you control no Spell/Trap Cards: You can Special Summon this card from your hand.
,,,,,,"If this card is sent to the Graveyard: You can target up to 3 ""Burning Abyss"" cards in your Graveyard, except ""Barbar, Malebranche of the Burning Abyss""; banish them, and if you do, inflict 300 damage to your opponent for each."
"Basilius, Familiar of the Evil Eye",Effect Monster,DARK,Fiend,400,2000,"If you control an ""Evil Eye"" monster, you can Special Summon this card (from your hand). You can only Special Summon ""Basilius, Familiar of the Evil Eye"" once per turn this way. During your Main Phase: You can send 1 ""Evil Eye"" Spell/Trap from your Deck to the GY. You can only use this effect of ""Basilius, Familiar of the Evil Eye"" once per turn."
Batteryman AA,Effect Monster,LIGHT,Thunder,0,0,"If all ""Batteryman AA""(s) you control are in Attack Position, this card gains 1000 ATK for each. If all ""Batteryman AA""(s) you control are in Defense Position, this card gains 1000 DEF for each."
Battlewasp - Twinbow the Attacker,Effect Monster,WIND,Insect,1000,500,"During your Main Phase: You can Special Summon this card from your hand, also you cannot Special Summon monsters from the Extra Deck for the rest of this turn, except Insect monsters. You can only use this effect of ""Battlewasp - Twinbow the Attacker"" once per turn. This card can make a second attack during each Battle Phase."
Battlin' Boxer Counterpunch,Effect Monster,FIRE,Warrior,0,1100,"During the Damage Step of either player's turn, when a ""Battlin' Boxer"" monster you control is attacking or being attacked: You can banish this card from your hand or Graveyard; that monster gains 1000 ATK, until the End Phase. You can only use the effect of ""Battlin' Boxer Counterpunch"" once per turn."
Battlin' Boxer Rabbit Puncher,Effect Monster,FIRE,Warrior,800,1000,"At the start of the Damage Step, if this card attacks a Defense Position monster: Destroy that monster."
Battlin' Boxer Rib Gardna,Effect Monster,FIRE,Warrior,100,1400,"During either player's turn: You can banish this card from your hand or Graveyard, then target 1 ""Battlin' Boxer"" monster you control; banish it until your next Standby Phase."
Bearblocker,Effect Monster,DARK,Fiend,1600,0,"During the opponent's turn, Set cards in your Spell & Trap Zone cannot be destroyed by card effects. If a Set card(s) in your Spell & Trap Zone is destroyed by an opponent's card effect: This card gains 800 ATK until the end of this turn."
Beast of the Pharaoh,Effect Monster,EARTH,Zombie,400,600,"If this card is sent to the Graveyard for a Synchro Summon, you can Special Summon 1 Level 4 or lower Zombie-Type monster from your Graveyard."
"Beat, Bladesman Fur Hire",Effect Monster,EARTH,Warrior,1200,500,"During your Main Phase: You can Special Summon 1 monster""Fur Hire"" from your hand, except ""Beat, Bladesman Fur Hire"". If a monster ""Fur Hire"" is Special Summoned to your field while you control this monster (except during the Damage Step): You can add 1 monster ""Fur Hire"" from your Deck to your hand, except ""Beat, Bladesman Fur Hire"". You can only use each effect of ""Beat, Bladesman Fur Hire"" once per turn."
Beelze Frog,Effect Monster,WATER,Aqua,1200,800,"Increase the ATK of this card by 300 points for each ""T.A.D.P.O.L.E."" in your Graveyard."
Berlineth the Firestorm Vassal,Effect Monster,FIRE,Pyro,800,1000,"You can discard 1 card; Special Summon this card from your hand, also you cannot Special Summon monsters from the Extra Deck for the rest of this turn. If this card is Tributed for a Tribute Summon: You can look at your opponent's hand and banish 1 card from their hand until the End Phase. You can only use each effect of ""Berlineth the Firestorm Vassal"" once per turn."
Beta The Electromagnet Warrior,Effect Monster,EARTH,Rock,1500,1500,"If this card is Normal or Special Summoned: You can add 1 Level 4 or lower ""Magnet Warrior"" monster from your Deck to your hand, except ""Beta The Electromagnet Warrior"". You can only use this effect of ""Beta The Electromagnet Warrior"" once per turn. During your opponent's turn: You can Tribute this card; Special Summon 1 Level 4 ""Magnet Warrior"" monster from your Deck (this is a Quick Effect)."
"Bi'an, Earth of the Yang Zing",Effect Monster,EARTH,Wyrm,1600,0,"When this card you control is destroyed by battle or card effect and sent to your Graveyard: You can Special Summon 1 ""Yang Zing"" monster from your Deck in Defense Position, except ""Bi'an, Earth of the Yang Zing"". You can only use this effect of ""Bi'an, Earth of the Yang Zing"" once per turn. Once per turn, during your opponent's Main Phase or Battle Phase, you can: Immediately after this effect resolves, Synchro Summon 1 Synchro Monster, using only ""Yang Zing"" monsters you control (this is a Quick Effect). A Synchro Monster that used this card as a Synchro Material cannot be destroyed by battle."
Big Jaws,Effect Monster,WATER,Fish,1800,300,"At the end of the Battle Phase, if this card attacked: Banish it."
Bite Bug,Effect Monster,EARTH,Insect,300,1000,"If your opponent controls a face-up Xyz Monster, you can Special Summon this card (from your hand). When you do: Target 1 monster your opponent controls; that monster loses 300 ATK."
Black Ptera,Effect Monster,WIND,Dinosaur,1000,500,"When this card is sent from the field to the Graveyard, except when destroyed by battle, it is returned to the owner's hand."
Blackwing - Damascus the Polar Night,Effect Monster,DARK,Winged Beast,1300,700,"During either player's turn: You can discard this card to target 1 ""Blackwing"" monster you control; it gains 500 ATK until the End Phase."
Blackwing - Etesian of Two Swords,Effect Monster,DARK,Winged Beast,400,1600,"If a ""Blackwing"" monster you control battles an opponent's monster, and that opponent's monster is still on the field at the end of the Damage Step, you can send this card from your hand to the Graveyard to inflict 1000 damage to your opponent."
Blackwing - Ghibli the Searing Wind,Effect Monster,DARK,Winged Beast,0,1600,"When your opponent declares a direct attack, you can Special Summon this card from your hand. Once per turn, you can switch this card's original ATK and DEF until the End Phase."
Blackwing - Gladius the Midnight Sun,Effect Monster,DARK,Winged Beast,800,1500,"If the only face-up monster you control is 1 ""Blackwing"" monster other than ""Blackwing - Gladius the Midnight Sun"", you can Special Summon this card (from your hand). Once per turn, this card cannot be destroyed by battle."
Blackwing - Kalut the Moon Shadow,Effect Monster,DARK,Winged Beast,1400,1000,"When a ""Blackwing"" monster you control attacks or is attacked, you can send this card from your hand to the Graveyard during the Damage Step to have that monster gain 1400 ATK until the End Phase."
Blade Garoodia the Cubic Beast,Effect Monster,FIRE,Beast,0,0,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by sending 2 ""Cubic"" monsters you control to the Graveyard. If Summoned this way, this card gains 2000 ATK. This card can make a second attack during each Battle Phase. When this card destroys a monster by battle: You can target up to 3 ""Vijam the Cubic Seed"" in your Graveyard; send this card to the Graveyard, and if you do, Special Summon them, then you can add 1 ""Buster Gundil the Cubic Behemoth"" from your Deck to your hand."
Blast Asmodian,Effect Monster,FIRE,Fiend,1000,300,"If any Spell or Trap Card(s) are Chained, inflict 500 damage to your opponent."
Blast Juggler,Effect Monster,FIRE,Machine,800,900,You can only activate this effect during your Standby Phase. Offer this face-up card as a Tribute to select and destroy 2 face-up monsters with an ATK 1000 or less.
Blizzard Warrior,Effect Monster,WATER,Warrior,1400,400,"If this card destroys an opponent's monster by battle, look at the top card of their Deck, then return it to either the top or bottom of their Deck."
Block Golem,Effect Monster,EARTH,Rock,1000,1500,"If all the monsters in your Graveyard are EARTH: You can Tribute this card to target 2 Level 4 or lower Rock-Type monsters in your Graveyard, except ""Block Golem""; Special Summon those targets, but their effects that activate on the field cannot be activated this turn."
Botanical Girl,Effect Monster,WATER,Plant,1300,1100,"When this card is sent from the field to the Graveyard, you can add 1 Plant-Type monster with 1000 or less DEF from your Deck to your hand."
Bowganian,Effect Monster,DARK,Machine,1300,1000,"During each of your Standby Phases, inflict 600 damage to your opponent."
Brotherhood of the Fire Fist - Hawk,Effect Monster,FIRE,Beast-Warrior,200,1500,"If this card in its owner's possession is destroyed by an opponent's card (either by battle or by card effect): You can Set 1 ""Fire Formation"" Spell Card directly from your Deck. While you control a face-up ""Fire Formation"" Spell/Trap Card, all ""Fire Fist"" monsters you control gain 500 ATK and DEF."
Brotherhood of the Fire Fist - Leopard,Effect Monster,FIRE,Beast-Warrior,0,200,"During your Main Phase, if this card was Normal or Special Summoned this turn: You can Tribute 1 ""Fire Fist"" monster; Set 1 ""Fire Formation"" Spell/Trap Card directly from your Deck. You can only use the effect of ""Brotherhood of the Fire Fist - Leopard"" once per turn."
Brotherhood of the Fire Fist - Ram,Effect Monster,FIRE,Beast-Warrior,800,200,"When this card is Normal Summoned: You can discard 1 card, then target 1 ""Fire Formation"" Spell/Trap you control; Set 1 ""Fire Formation"" Spell/Trap with a different name directly from your Deck. If this card is Special Summoned by the effect of a ""Fire Fist"" monster: You can Set 1 ""Fire Formation"" Spell/Trap directly from your Deck, with a different name from the cards in your GY. You can only use each effect of ""Brotherhood of the Fire Fist - Ram"" once per turn."
Brotherhood of the Fire Fist - Raven,Effect Monster,FIRE,Beast-Warrior,200,1800,"If this card is sent from the field to the Graveyard: You can Set 1 ""Fire Formation"" Spell Card directly from your Deck. Face-up ""Fire Formation"" Spell/Trap Cards you control cannot be destroyed by your opponent's card effects."
Brotherhood of the Fire Fist - Rooster,Effect Monster,FIRE,Beast-Warrior,1500,100,"When this card is Special Summoned by the effect of a ""Fire Fist"" monster: You can add 1 ""Fire Fist"" monster from your Deck to your hand. You can only use this effect of ""Brotherhood of the Fire Fist - Rooster"" once per turn. Once per turn: You can send 1 face-up ""Fire Formation"" Spell/Trap Card you control to the Graveyard; Set 1 ""Fire Formation"" Spell/Trap Card directly from your Deck."
Brotherhood of the Fire Fist - Wolf,Effect Monster,FIRE,Beast-Warrior,0,1900,"If this card is flipped face-up: You can Set 1 ""Fire Formation"" Trap Card directly from your Deck, then, if this card was Flip Summoned, you can also Set 1 ""Fire Formation"" Spell Card directly from your Deck."
"Broww, Huntsman of Dark World",Effect Monster,DARK,Fiend,1400,800,"If this card is discarded to the Graveyard by a card effect: Draw 1 card, plus another card if this card is discarded from your hand to your Graveyard by an opponent's card effect."
"Burner, Dragon Ruler of Sparks",Effect Monster,FIRE,Dragon,1000,200,"You can discard this card AND 1 Dragon-Type or FIRE monster; Special Summon 1 ""Blaster, Dragon Ruler of Infernos"" from your Deck. It cannot attack this turn. You can only use the effect of ""Burner, Dragon Ruler of Sparks"" once per turn."
Burning Algae,Effect Monster,FIRE,Pyro,500,1500,"When this card is sent to the Graveyard, increase your opponent's Life Points by 1000 points."
"Cagna, Malebranche of the Burning Abyss",Effect Monster,DARK,Fiend,1500,300,"If you control a monster that is not a ""Burning Abyss"" monster, destroy this card. You can only use 1 of the following effects of ""Cagna, Malebranche of the Burning Abyss"" per turn, and only once that turn."
,,,,,,If you control no Spell/Trap Cards: You can Special Summon this card from your hand.
,,,,,,"If this card is sent to the Graveyard: You can send 1 ""Burning Abyss"" Spell/Trap Card from your Deck to the Graveyard."
"Calcab, Malebranche of the Burning Abyss",Effect Monster,DARK,Fiend,1400,0,"If you control a monster that is not a ""Burning Abyss"" monster, destroy this card. You can only use 1 of the following effects of ""Calcab, Malebranche of the Burning Abyss"" per turn, and only once that turn."
,,,,,,If you control no Spell/Trap Cards: You can Special Summon this card from your hand.
,,,,,,If this card is sent to the Graveyard: You can target 1 Set Spell/Trap Card on the field; return that target to the hand.
Caninetaur,Effect Monster,FIRE,Beast-Warrior,1500,200,"Once per turn, if this card battles an opponent's monster, during damage calculation(in either player's turn): You can send 1 Beast, Beast-Warrior, or Winged Beast-Type monster from your hand or Deck to the Graveyard, and if you do, this card gains ATK equal to the sent monster's Level x 100, until the end of the Battle Phase."
Carboneddon,Effect Monster,EARTH,Dinosaur,800,600,"If this card battles a FIRE monster, during damage calculation: This card gains 1000 ATK, during damage calculation only. You can banishthis card from your Graveyard; Special Summon, from your hand orDeck, 1 Level 7 or lower Dragon-Type Normal Monster in face-upDefense Position. You can only use this effect of ""Carboneddon"" once per turn."
Card Blocker,Effect Monster,EARTH,Warrior,400,400,"When this card is Summoned: Change it to Defense Position. When a face-up monster you control is targeted for an attack: You can change the target to this card. When this card is targeted for an attack: You can choose a number from 1 to 3, then send that many cards from the top of your Deck to the Graveyard; this card gains 500 DEF for each card sent, until the End Phase."
Card Ejector,Effect Monster,EARTH,Spellcaster,400,400,Once per turn: You can target 1 card in your opponent's Graveyard; banish that target.
Card Trooper,Effect Monster,EARTH,Machine,400,400,"Once per turn: You can choose a number from 1 to 3, then send that many cards from the top of your Deck to the Graveyard; this card gains 500 ATK for each card sent to the Graveyard this way, until the End Phase. When this card you control is destroyed and sent to your Graveyard: Draw 1 card."
"Catoblepas, Familiar of the Evil Eye",Effect Monster,DARK,Fiend,600,1900,"You can target 1 ""Evil Eye"" Spell/Trap you control; once, until the end of the next turn, that card cannot be destroyed by your opponent's card effects. If you control an ""Evil Eye"" monster other than ""Catoblepas, Familiar of the Evil Eye"", while this card is in your GY: You can Special Summon this card, but banish it when it leaves the field. You can only use each effect of ""Catoblepas, Familiar of the Evil Eye"" once per turn."
Ceremonial Bell,Effect Monster,LIGHT,Spellcaster,0,1850,"As long as this card remains face-up on the field, you and your opponent must show your respective hands to each other."
Charming Resort Staff,Effect Monster,LIGHT,Fairy,300,200,"When an attack is declared involving a ""SPYRAL Super Agent"" you control and an opponent's face-up monster: You can change the ATK of the opponent's monster to 0. If this card is destroyed by battle or card effect: You can Special Summon 1 ""SPYRAL Super Agent"" from your Deck. If a ""SPYRAL Super Agent"" you control is destroyed by battle or sent to the Graveyard while this card is in your Graveyard: You can banish this card from your Graveyard; return 1 ""SPYRAL Super Agent"" from your Graveyard to your hand."
Chopman the Desperate Outlaw,Effect Monster,DARK,Zombie,1100,500,"When this card is Flip Summoned, you can equip 1 Equip Spell Card in your Graveyard to this card."
Chronomaly Crystal Bones,Effect Monster,LIGHT,Rock,1300,400,"If your opponent controls a monster and you control no monsters, you can Special Summon this card (from your hand). When you do: You can Special Summon 1 ""Chronomaly"" monster from your hand or Graveyard, except ""Chronomaly Crystal Bones""."
Chronomaly Crystal Skull,Effect Monster,LIGHT,Rock,900,600,"If you control a face-up ""Chronomaly"" monster: You can discard this card to the Graveyard; add 1 ""Chronomaly"" monster from your Deck or Graveyard to your hand, except ""Chronomaly Crystal Skull"". The effect of ""Chronomaly Crystal Skull"" can only be used once per turn."
Chronomaly Gordian Knot,Effect Monster,EARTH,Rock,300,900,"When this card is Normal Summoned: You can Special Summon 1 ""Chronomaly"" monster from your hand, and if you do, this card's Level becomes the current Level of that Special Summoned monster."
Chronomaly Mayan Machine,Effect Monster,EARTH,Machine,1500,700,This card can be treated as 2 Tributes for the Tribute Summon of a Machine-Type monster.
"Cir, Malebranche of the Burning Abyss",Effect Monster,DARK,Fiend,1600,1200,"If you control a monster that is not a ""Burning Abyss"" monster, destroy this card. You can only use 1 of the following effects of ""Cir, Malebranche of the Burning Abyss"" perturn, and only once that turn."
,,,,,,If you control no Spell/Trap Cards: You can Special Summon this card from your hand.
,,,,,,"If this card is sent to the Graveyard: You can target 1 ""Burning Abyss"" monster in your Graveyard, except ""Cir, Malebranche of the Burning Abyss""; Special Summon it."
Cliant,Effect Monster,LIGHT,Cyberse,1500,1500,"While this Normal Summoned/Set card is face-up on the field, all Cyberse monsters you control gain 500 ATK/DEF during your turn only. If this card on the field would be destroyed by battle or card effect, you can destroy 1 Cyberse monster in your hand or face-up on your field instead."
Cloudian - Poison Cloud,Effect Monster,WATER,Fiend,0,1000,"If this face-up card attacks or is attacked, and is destroyed by battle and sent to the Graveyard, destroy the monster that destroyed it, and then inflict 800 damage to your opponent."
Cobraman Sakuzy,Effect Monster,EARTH,Reptile,800,400,"You can flip this card into face-down Defense Position once per turn during your Main Phase. When this card is flipped face-up, look at all Set Magic and Trap Cards on your opponent's side of the field and then return them to their original position."
Cockroach Knight,Effect Monster,EARTH,Insect,800,900,"When this card has been sent to the Graveyard, it is returned to the top of your deck."
Cocoon of Evolution,Effect Monster,EARTH,Insect,0,2000,"You can equip this card from your hand as an Equip Spell Card to a face-up Petit Moth"" on the field. If equipped, the ATK and DEF of ""Cocoon of Evolution"" is applied to ""Petit Moth""."""
Constellar Aldebaran,Effect Monster,LIGHT,Beast-Warrior,1300,800,"When this card is Normal Summoned: You can Special Summon 1 Level 3 ""Constellar"" monster from your hand."
Constellar Leonis,Effect Monster,LIGHT,Beast,1000,1800,"During your Main Phase, you can Normal Summon 1 ""Constellar"" monster in addition to your Normal Summon/Set. (You can only gain this effect once per turn.)"
Constellar Sheratan,Effect Monster,LIGHT,Beast,700,1900,"When this card is Normal Summoned: You can add 1 ""Constellar"" monster from your Deck to your hand."
Construction Train Signal Red,Effect Monster,EARTH,Machine,1000,1300,"When your opponent's monster declares an attack: You can Special Summon this card from your hand, and if you do, change the attack target to this card and proceed to damage calculation. This card cannot be destroyed by that battle."
Crane Crane,Effect Monster,EARTH,Winged Beast,300,900,"When this card is Normal Summoned: You can target 1 Level 3 monster in your Graveyard; Special Summon that target. Its effects are negated. You can only use the effect of ""Crane Crane"" once per turn."
Crashbug X,Effect Monster,DARK,Fiend,0,2000,"When this card is Normal Summoned: You can Special Summon 1 ""Crashbug Z"" from your Deck. You must control a face-up ""Crashbug Y"" to activate and to resolve this effect."
Crashbug Y,Effect Monster,DARK,Fiend,1400,1600,"When this card is Normal Summoned: You can Special Summon 1 ""Crashbug X"" from your Deck. You must control a face-up ""Crashbug Z"" to activate and to resolve this effect."
Crashbug Z,Effect Monster,DARK,Fiend,0,1500,"When this card is Normal Summoned: You can Special Summon 1 ""Crashbug Y"" from your Deck. You must control a face-up ""Crashbug X"" to activate and resolve this effect."
Creeping Doom Manta,Effect Monster,WATER,Fish,1300,1200,"When this card is Normal Summoned successfully, no Trap Cards can be activated."
Crusadia Leonis,Effect Monster,EARTH,Beast,1200,1600,"You can Special Summon this card (from your hand) in Defense Position to your zone a Link Monster points to. You can only Special Summon ""Crusadia Leonis"" once per turn this way. You can target 1 ""Crusadia"" Link Monster you control; if it attacks a Defense Position monster this turn, inflict piercing battle damage to your opponent. You can only use this effect of ""Crusadia Leonis"" once per turn."
