Stars,Card Name,Type,Attribute,Sub Type,ATK,DEF,Card Text
1,Cyber Dragon Nachster,Effect Monster,LIGHT,Machine,200,200,"This card's name becomes ""Cyber Dragon"" while on the field or in the GY. You can discard 1 other monster; Special Summon this card from your hand. If this card is Normal or Special Summoned: You can target 1 Machine monster with 2100 ATK or DEF in your GY; Special Summon it, also, you cannot Special Summon monsters for the rest of this turn, except Machine monsters. You can only use each effect of ""Cyber Dragon Nachster"" once per turn."
1,Cyber Larva,Effect Monster,LIGHT,Machine,400,600,"If this face-up card is targeted for an attack: You take no Battle Damage for the rest of this turn. When this card is destroyed by battle and sent to the Graveyard: You can Special Summon 1 ""Cyber Larva"" from your Deck."
1,Cyber Pharos,Effect Monster,LIGHT,Machine,0,2100,"You can Special Summon this card (from your hand) by Tributing 1 Machine monster. Once per turn, during your Main Phase: You can Fusion Summon 1 Machine Fusion Monster from your Extra Deck, using monsters from your hand and/or field as material. When a Fusion Monster you control is destroyed by battle: You can banish this card from your GY; add 1 ""Power Bond"" from your Deck to your hand. You can only use this effect of ""Cyber Pharos"" once per turn."
1,Cyber Valley,Effect Monster,LIGHT,Machine,0,0,"You can use 1 of these effects. ;; When this card is targeted for an attack by an opponent's monster: You can banish this card; draw 1 card, then end the Battle Phase. ;; You can target 1 face-up monster you control and this card; banish both that target and this card, then draw 2 cards. ;; You can target 1 card in your Graveyard; banish this card and 1 card from your hand, then place that target on top of the Deck."
1,D Cubed,Effect Monster,DARK,Machine,0,0,"If this card is Normal Summoned: It is also treated as a ""Destiny HERO"" monster while face-up on the field. You can only use each of the following effects of ""D Cubed"" once per turn. ;; You can discard up to 2 cards; Special Summon ""D Cubed"" from your hand, Deck, and/or Graveyard, equal to the number discarded, also for the rest of this turn, you cannot Normal or Special Summon other monsters, except ""Destiny HERO"" monsters. ;; If this card is destroyed by battle or card effect: You can send 1 ""Destiny HERO"" monster from your Deck to the Graveyard."
1,D.D. Crow,Effect Monster,DARK,Winged Beast,100,100,During either player's turn: You can discard this card from your hand to the Graveyard to target 1 card in your opponent's Graveyard; banish that target.
1,D/D Necro Slime,Effect Monster,DARK,Fiend,300,300,"If this card is in your Graveyard: You can Fusion Summon 1 ""D/D/D"" Fusion Monsterfrom your Extra Deck, by banishing Fusion Materials listed on it from your Graveyard, including this card. You can only use this effect of ""D/D Necro Slime"" once per turn."
1,Dark Bug,Effect Monster,DARK,Insect,100,100,"When this card is Normal Summoned, select and Special Summon 1 Level 3 Tuner monster from your Graveyard. The effect(s) of that monster is negated."
1,Dark Spider,Effect Monster,DARK,Insect,0,0,"Once per turn, you can increase the Level of 1 face-up Insect-Type monster you control by 2, until the End Phase."
1,Darklon,Effect Monster,DARK,Fiend,100,100,"When this card is Normal Summoned: You can have all face-up monsters you currently control gain 1 Level, also, they become DARK (these effects last until the End Phase)."
1,Darksea Float,Effect Monster,DARK,Machine,0,300,"When this card on the field is destroyed by a card effect and sent to the Graveyard, the owner of this card draws 1 card."
1,Darksea Rescue,Effect Monster,DARK,Machine,0,0,"If this card is used for a Synchro Summon and sent to the Graveyard, the owner of this card draws 1 card."
1,Datacorn,Effect Monster,DARK,Cyberse,0,0,"If this card is Special Summoned: You can Special Summon 1 ""Data Acorn Token"" (Cyberse/DARK/Level 1/ATK 0/DEF 0). You can only use this effect of ""Datacorn"" once per turn."
1,Deepsea Macrotrema,Effect Monster,WATER,Fish,600,100,When this card is sent from the field to the Graveyard all face-up WATER monsters you control gain 500 ATK until the end of this turn.
1,Destiny HERO - Dark Angel,Effect Monster,DARK,Warrior,0,0,"If you have 3 or more ""Destiny HERO"" monsters in your Graveyard: You can discard this card, then target 1 ""Destiny HERO"" monster in your Graveyard; Special Summon it to your opponent's field in Defense Position. When a Spell Card or effect you activate resolves, negate that effect, and if you do, or if it did not have an effect, destroy that card. During your Standby Phase: You can banish this card and 1 ""Destiny HERO"" monster from your Graveyard; each player chooses 1 Normal Spell Card from their Deck, and places it on top of their Deck."
1,Destiny HERO - Disk Commander,Effect Monster,DARK,Warrior,300,300,When this card is Special Summoned from the Graveyard: Draw 2 cards.
1,Destiny HERO - Dreamer,Effect Monster,DARK,Warrior,0,600,"During damage calculation, if your ""Destiny HERO"" monster battles and this card is in your GY: You can Special Summon this card, make that monster unable to be destroyed by that battle, and if you do, you take no battle damage from that battle. If Summoned this way, banish this card when it leaves the field. You can only use this effect of ""Destiny HERO - Dreamer"" once per turn."
1,Dimension Wanderer,Effect Monster,LIGHT,Spellcaster,0,0,"When a monster is banished by the effect of ""Galaxy-Eyes Photon Dragon"": You can send this card from your hand to the Graveyard; inflict 3000 damage to your opponent. You can only use the effect of ""Dimension Wanderer"" once per turn."
1,Dinowrestler Martial Ampelo,Effect Monster,EARTH,Dinosaur,600,0,"During damage calculation, if your other ""Dinowrestler"" monster battles an opponent's monster with an equal or higher ATK (Quick Effect): You can send this card from your hand or field to the GY; for that battle, your monster cannot be destroyed and the battle damage you take is halved. When an opponent's monster declares an attack: You can banish this card from your GY; add 1 ""Dinowrestler"" monster from your Deck to your hand, except ""Dinowrestler Martial Ampelo"". You can only use this effect of ""Dinowrestler Martial Ampelo"" once per turn."
1,Djinn Disserere of Rituals,Effect Monster,DARK,Fiend,200,200,"When you Ritual Summon a Ritual Monster, you can remove from play this card from your Graveyard as 1 of the monsters required for the Ritual Summon. The monster Ritual Summoned using this card is not affected by Trap Cards."
1,Doctor Cranium,Effect Monster,EARTH,Psychic,100,100,"When this card is destroyed by battle and sent to the Graveyard, you can pay 800 Life Points to add 1 Psychic-Type monster from your Deck to your hand."
1,Donyoribo @Ignister,Effect Monster,DARK,Cyberse,300,0,"During damage calculation, if your ""@Ignister"" monster is attacked (Quick Effect): You can discard this card; you take no battle damage from that battle. When an ""@Ignister"" monster effect, or ""A.I."" Spell/Trap Card or effect, is activated that inflicts damage to your opponent, even during the Damage Step (Quick Effect): You can banish this card from your GY; double that damage inflicted to your opponent. You can only use each effect of ""Donyoribo @Ignister"" once per turn."
1,Doshin @Ignister,Effect Monster,EARTH,Cyberse,100,800,"If you control an ""@Ignister"" monster: You can Special Summon this card from your hand. You can target 1 Cyberse Link Monster in your GY; return it to the Extra Deck, and if you do, add 1 ""A.I. Love Fusion"" from your Deck to your hand. You can only use each effect of ""Doshin @Ignister"" once per turn."
1,Dotscaper,Effect Monster,EARTH,Cyberse,0,2100,"If this card is sent to the GY: You can Special Summon this card. If this card is banished: You can Special Summon this card. You can only use 1 ""Dotscaper"" effect per turn, and only once that turn. You can only use each effect of ""Dotscaper"" once per Duel."
1,Dragunity Tribus,Effect Monster,WIND,Winged Beast,500,300,"When this card is Normal or Special Summoned, you can send 1 Level 3 or lower Dragon-Type monster from your Deck to the Graveyard."
1,Droll & Lock Bird,Effect Monster,WIND,Spellcaster,0,0,"If your opponent adds a card(s) from their Deck to their hand, except during the Draw Phase, you can send this card from your hand to the Graveyard. For the rest of this turn, neither player can add card(s) from their Deck to their hand. (Drawing cards is also considered as ""adding a card to the hand."")"
1,Dverg of the Nordic Alfar,Effect Monster,EARTH,Warrior,100,1000,"During the turn this card is Normal Summoned, you can Normal Summon 1 ""Nordic"" in addition to your Normal Summon or Set. (You can only gain this effect once per turn.) When this face-up card on the field is sent to the Graveyard, select 1 ""Nordic Relic"" card in your Graveyard and add it to your hand."
1,DZW - Chimera Clad,Effect Monster,DARK,Fiend,0,0,"You can target 1 ""Number C39"" monster you control; equip this monster from your hand or your side of the field to that target. The equipped monster cannot be destroyed by battle. At the end of the Damage Step, when the equipped monster attacks an opponent's monster, but the opponent's monster was not destroyed by the battle: You can make the opponent's monster's ATK 0 (even after this card leaves the field or the monster becomes unaffected by card effects), and if you do, the equipped monster can make a second attack on the same monster in a row."
1,Eater of Millions,Effect Monster,DARK,Fiend,0,0,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by banishing 5 or more cards from your hand, field and/or Extra Deck, face-down, and cannot be Special Summoned by other ways. This card gains 100 ATK and DEF for each face-down banished card. This face-up card on the field cannot be Tributed, nor used as Material for a Fusion, Synchro, or Xyz Summon. Once per turn, at the start of the Damage Step, if this card battles an opponent's monster: You can banish that opponent's monster, face-down."
1,Edea the Heavenly Squire,Effect Monster,LIGHT,Warrior,800,1000,"If this card is Normal or Special Summoned: You can Special Summon 1 monster with 800 ATK and 1000 DEF from your Deck in Defense Position, except ""Edea the Heavenly Squire"", also you cannot Special Summon monsters from the Extra Deck for the rest of this turn. If this card is sent to the Graveyard: You can target 1 of yourbanished ""Monarch"" Spell/Trap Cards; add it to your hand. You can only use each effect of ""Edea the Heavenly Squire"" once per turn."
1,Eva,Effect Monster,LIGHT,Fairy,500,200,"If this card is sent to the GY: You can banish up to 2 other LIGHT Fairy monsters from your field and/or GY; add the same number Level 2 or lower LIGHT Fairy monsters with different names from your Deck to your hand, except ""Eva"". You can only use this effect of ""Eva"" once per turn."
1,Evil Thorn,Effect Monster,DARK,Plant,100,300,"You can Tribute this card to inflict 300 damage to your opponent and Special Summon up to 2 ""Evil Thorn""(s) from your Deck in face-up Attack Position. Those monsters' effects cannot be activated."
1,Evoltile Gephyro,Effect Monster,FIRE,Reptile,200,400,"When this card is destroyed by battle: You can target 1 ""Evolsaur"" monster in your Graveyard; Special Summon that target."
1,Evoltile Megachirella,Effect Monster,FIRE,Reptile,0,0,"You can Tribute 1 Reptile monster, then discard 1 card; Special Summon 1 Level 6 or lower FIRE Dinosaur monster from your Deck. You can banish this card from your GY, then target 1 Dragon Xyz Monster you control with no material; attach up to 2 Reptile and/or Dinosaur monsters with different names from your hand and/or GY to that monster as material. You can only use each effect of ""Evoltile Megachirella"" once per turn."
1,Evoltile Pleuro,Effect Monster,FIRE,Reptile,200,200,"If this card you control is destroyed and sent to your Graveyard: You can Special Summon 1 ""Evolsaur"" monster from your hand."
1,Explossum,Effect Monster,EARTH,Beast,100,100,"You can target 1 face-up Xyz Monster your opponent controls; equip this monster from your hand or your side of the field to that target. If a monster equipped with this card by this effect has no Xyz Materials, destroy that monster. While this card is equipped to a monster, during each of your opponent's Standby Phases: Detach 1 Xyz Material from the equipped monster."
1,Extraceratops,Effect Monster,EARTH,Warrior,100,100,"When a monster in the Extra Monster Zone is destroyed by battle with a monster in the Main Monster Zone and sent to the GY, while this card is in the GY: You can Special Summon this card, in Defense Position, to the field of that destroyed monster's owner. You can only use this effect of ""Extraceratops"" once per turn. If this card Summoned this way is destroyed and sent to the GY: Draw 1 card."
1,Fabled Lurrie,Effect Monster,LIGHT,Fiend,200,400,"When this card is discarded from your hand to the Graveyard, Special Summon it."
1,Fabled Topi,Effect Monster,LIGHT,Fiend,500,200,"If your opponent has 2 or more cards in their hand than you do, you can reveal 1 ""Fabled"" monster in your hand and Tribute this face-up card to select 2 Spell or Trap Cards your opponent controls, and destroy them."
1,"Filo, Messenger Fur Hire",Effect Monster,WIND,Winged Beast,0,0,"During your Main Phase: You can Special Summon 1 monster ""Fur Hire"" from your hand, except ""Filo, Messenger Fur Hire"". If a monster ""Fur Hire"" is Special Summoned to your field while you control this monster (except during the Damage Step): You can target 1 monster ""Fur Hire"" in your GY; Special Summon it in Defense Position, but place it on the bottom of the Deck if it leaves the field. You can only use each effect of ""Filo, Messenger Fur Hire"" once per turn."
1,Flamvell Poun,Effect Monster,FIRE,Pyro,200,200,"When this card is destroyed by battle and sent to the Graveyard, you can select and add 1 monster with 200 DEF from your Deck to your hand."
1,Flower Cardian Pine,Effect Monster,DARK,Warrior,100,100,"If this card is Normal Summoned: Draw 1 card, show it, then send it to the Graveyard unless it is a ""Flower Cardian"" monster. You can only use this effect of ""Flower Cardian Pine"" once per turn. If this card is destroyed by battle and sent to the Graveyard, or if this card in your possession is destroyed by an opponent's card effect and sent to your Graveyard: You can draw 1 card."
1,Flower Cardian Pine with Crane,Effect Monster,DARK,Warrior,2000,2000,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by Tributing 1 Level 1 ""Flower Cardian"" monster, except ""Flower Cardian Pine with Crane"". If this card is Special Summoned: Draw 1 card, and if you do, show it, then you can Special Summon it if it is a ""Flower Cardian"" monster. Otherwise, send it to the Graveyard. At the end of the Battle Phase, if this card battled: Draw 1 card."
1,Fluffal Cat,Effect Monster,EARTH,Fairy,700,300,"If this card is sent to the Graveyard as a Fusion Material for a Fusion Summon: You can target 1 ""Polymerization"" in your Graveyard; add it to your hand. You can only use this effect of ""Fluffal Cat"" once per turn."
1,Fluffal Mouse,Effect Monster,EARTH,Fairy,100,100,"During your Main Phase: You can Special Summon up to 2 copies of ""Fluffal Mouse"" from your Deck. This effect can only be used once while this card is face-up on the field. You cannot Special Summon monsters from the Extra Deck the turn you activate this effect, except ""Frightfur"" monsters."
1,Fluffal Octopus,Effect Monster,WATER,Fairy,800,800,"When this card is Normal or Special Summoned: You can target 1 ""Fluffal"" or ""Edge Imp"" monster in your Graveyard; add it to your hand. If this card is sent to the Graveyard as a Fusion Material for a Fusion Summon of a ""Frightfur"" Fusion Monster: You can target up to 2 of your banished monsters; return them to the Graveyard. You can only use each effect of ""Fluffal Octopus"" once per turn."
1,Fluffal Rabbit,Effect Monster,EARTH,Fairy,300,1200,"If this card is sent to the Graveyard as a Fusion Material for a Fusion Summon: You can target 1 ""Edge Imp Sabres"" or 1 ""Fluffal"" monster in your Graveyard, except ""Fluffal Rabbit""; add it to your hand. You can only use this effect of ""Fluffal Rabbit"" once per turn."
